Price,city,History,Millage,Ratings,Make,Model,Transmission,Age
3690000.0,Lagos,foreign,197147.0,4.900000095367432,Toyota,Corolla,Automatic,12.0
2815000.0,Abuja,foreign,410012.0,5.0,Toyota,Corolla,Automatic,12.0
3315000.0,Lagos,foreign,158427.0,4.900000095367432,Toyota,Corolla,Automatic,12.0
3060000.0,Lagos,foreign,199373.0,4.699999809265137,Toyota,Corolla,Automatic,12.0
3015000.0,Lagos,foreign,148134.0,4.900000095367432,Mazda,CX-9,Automatic,11.0
3215000.0,Lagos,foreign,198529.0,4.800000190734863,Toyota,Matrix,Automatic,12.0
6015000.0,Lagos,foreign,137371.0,4.900000095367432,Toyota,Highlander,Automatic,12.0
2615000.0,Lagos,foreign,202171.0,4.800000190734863,Acura,MDX,Automatic,17.0
3165000.0,Lagos,foreign,103220.0,4.699999809265137,Infiniti,FX 35,Automatic,14.0
2515000.0,Lagos,foreign,120091.0,4.900000095367432,Honda,Pilot,Automatic,15.0
10215000.0,Lagos,foreign,108513.0,4.800000190734863,Mercedes-Benz,GLK 350,Automatic,9.0
4515000.0,Lagos,foreign,131784.0,4.900000095367432,Hyundai,Veloster,Automatic,9.0
2640000.0,Lagos,foreign,95033.0,4.900000095367432,Toyota,Corolla,Automatic,17.0
3315000.0,Lagos,foreign,87698.0,4.800000190734863,Toyota,Corolla,Automatic,12.0
4515000.0,Lagos,foreign,75504.0,4.699999809265137,Lexus,IS 250,Automatic,13.0
4915000.0,Lagos,foreign,67351.0,4.800000190734863,Toyota,Camry,Automatic,9.0
4815000.0,Lagos,foreign,37512.0,4.900000095367432,Toyota,Camry,Automatic,7.0
3015000.0,Abuja,foreign,176339.0,4.900000095367432,Toyota,Camry,Automatic,14.0
3315000.0,Abuja,foreign,88843.0,5.0,Toyota,Camry,Automatic,11.0
5680000.0,Lagos,foreign,40658.0,4.900000095367432,Toyota,Corolla,Automatic,6.0
2765000.0,Lagos,foreign,195458.0,4.699999809265137,Toyota,Sienna,Automatic,14.0
8940000.0,Lagos,foreign,70514.0,4.599999904632568,Toyota,Avalon,Automatic,8.0
7534000.0,Lagos,foreign,138875.0,4.900000095367432,Toyota,Venza,Automatic,9.0
3615000.0,Lagos,foreign,56842.0,4.900000095367432,Toyota,Corolla,Automatic,10.0
4015000.0,Lagos,foreign,87685.0,4.900000095367432,Toyota,Corolla,Automatic,10.0
3690000.0,Lagos,foreign,66157.0,4.800000190734863,Honda,Crosstour,Automatic,9.0
6465000.0,Lagos,foreign,118630.0,4.800000190734863,Mercedes-Benz,E 350,Automatic,11.0
9594000.0,Lagos,foreign,62342.0,5.0,Lexus,ES 350,Automatic,6.0
6515000.0,Lagos,local,20239.0,4.599999904632568,Toyota,Hilux,Automatic,9.0
8415000.0,Lagos,foreign,127311.0,4.599999904632568,Land,Rover Serie III,Automatic,11.0
7019000.0,Lagos,foreign,80823.0,4.900000095367432,Lexus,GX 470,Automatic,14.0
9815000.0,Lagos,foreign,68670.0,4.900000095367432,Mercedes-Benz,CLA 250,Automatic,7.0
2315000.0,Lagos,foreign,108389.0,4.599999904632568,Toyota,Camry,Automatic,14.0
4015000.0,Lagos,foreign,96210.0,4.699999809265137,Toyota,Camry,Automatic,10.0
3115000.0,Lagos,foreign,106637.0,4.800000190734863,Toyota,Camry,Automatic,12.0
3115000.0,Lagos,foreign,111360.0,4.599999904632568,Toyota,Camry,Automatic,14.0
3270000.0,Lagos,local,171713.0,4.800000190734863,Mercedes-Benz,C 350,Automatic,13.0
3015000.0,Lagos,foreign,167581.0,4.599999904632568,Hyundai,Elantra,Automatic,11.0
2915000.0,Lagos,foreign,22412.0,4.599999904632568,Toyota,Avalon,Automatic,15.0
3165000.0,Lagos,foreign,131248.0,4.900000095367432,Toyota,Camry,Automatic,14.0
4215000.0,Lagos,foreign,85043.0,4.900000095367432,Toyota,4-Runner,Automatic,16.0
4515000.0,Lagos,foreign,79104.0,4.699999809265137,Toyota,Camry,Automatic,8.0
4425000.0,Lagos,foreign,84674.0,4.900000095367432,Acura,MDX,Automatic,13.0
4425000.0,Lagos,foreign,61967.0,4.900000095367432,Acura,MDX,Automatic,14.0
5315000.0,Lagos,local,130247.0,4.900000095367432,Toyota,RAV 4,Automatic,8.0
4425000.0,Lagos,foreign,91087.0,4.900000095367432,Acura,MDX,Automatic,13.0
12375000.0,Lagos,foreign,76511.0,4.900000095367432,Toyota,Sequoia,Automatic,11.0
6215000.0,Lagos,foreign,86528.0,4.900000095367432,Toyota,Sienna,Automatic,9.0
3480000.0,Lagos,foreign,118893.0,5.0,Ford,Fusion,Automatic,8.0
6215000.0,Lagos,foreign,111897.0,4.900000095367432,Honda,Crosstour,Automatic,11.0
4815000.0,Lagos,local,125205.0,4.900000095367432,Toyota,Sienna,Automatic,10.0
14805000.0,Lagos,foreign,133977.0,5.0,Mercedes-Benz,GL 450,Automatic,8.0
1615000.0,Lagos,local,102641.0,4.599999904632568,Toyota,Camry,Automatic,16.0
1815000.0,Lagos,foreign,212328.0,4.699999809265137,Nissan,Altima,Automatic,13.0
3265000.0,Lagos,foreign,100000.0,4.800000190734863,Mazda,CX-9,Automatic,12.0
4415000.0,Lagos,foreign,107255.0,4.800000190734863,Acura,MDX,Automatic,12.0
6815000.0,Lagos,foreign,55284.0,4.900000095367432,Toyota,Avalon,Automatic,8.0
3815000.0,Lagos,foreign,162717.0,4.900000095367432,Lexus,IS 250,Automatic,13.0
3015000.0,Lagos,foreign,145511.0,4.900000095367432,Toyota,Camry,Automatic,12.0
4015000.0,Lagos,foreign,80129.0,4.900000095367432,Lexus,ES 350,Automatic,13.0
5815000.0,Lagos,foreign,106404.0,4.900000095367432,Honda,Crosstour,Automatic,7.0
4215000.0,Lagos,foreign,107255.0,4.800000190734863,Acura,MDX,Automatic,14.0
3015000.0,Lagos,foreign,177930.0,5.0,Toyota,Sienna,Automatic,13.0
3815000.0,Lagos,foreign,248977.0,4.800000190734863,Lexus,RX 330,Automatic,17.0
3515000.0,Abuja,foreign,52384.0,5.0,Toyota,Sienna,Automatic,14.0
3915000.0,Lagos,foreign,149274.0,4.800000190734863,Toyota,Tundra,Automatic,15.0
3415000.0,Abuja,foreign,698552.0,4.900000095367432,Volkswagen,Tiguan,Automatic,12.0
2215000.0,Abuja,foreign,690021.0,4.900000095367432,Honda,Accord,Automatic,14.0
10419000.0,Lagos,foreign,107455.0,4.900000095367432,Lexus,RX 350,Automatic,8.0
