,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
413,"₦ 3,034,000","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"1,410Km",E,2004,Lexus,Rx 330,Automatic,Petrol
414,"₦ 1,354,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"94,724Km",E,2006,Nissan,Pathfinder,Automatic,Petrol
415,"₦ 1,858,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"112,586Km",C,2010,Hyundai,Sonata,Automatic,Petrol
416,"₦ 1,354,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"98,650Km",D,2008,Nissan,Sentra,Automatic,Petrol
417,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"265,768Km",E,2009,Honda,Pilot,Automatic,Petrol
418,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"252,563Km",E,2005,Toyota,Camry,Automatic,Petrol
419,"₦ 3,426,000","Port Harcourt - SNB                                        ,Port Harcourt",Foreign Used,"65,658Km",E,2008,Toyota,Camry,Automatic,Petrol
420,"₦ 3,370,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"136,312Km",C,2008,Mercedes-Benz,C300,Automatic,Petrol
421,"₦ 3,370,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"56,247Km",,2014,Skoda,Octavia,Automatic,Petrol
422,"₦ 685,000",Mainland 3 - SNB,Nigerian Used,"117,780Km",,2003,Honda,Odyssey,Automatic,Petrol
423,"₦ 4,042,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"207,809Km",D,2004,Lexus,Rx 330,Automatic,Petrol
424,"₦ 626,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"148,618Km",E,2002,Toyota,Corolla,Automatic,Petrol
425,"₦ 1,690,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"283,405Km",E,2007,Nissan,Versa,Automatic,Petrol
426,"₦ 572,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"322,549Km",E,1997,Toyota,Camry,Automatic,Petrol
427,"₦ 2,922,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"58,355Km",,2007,Lexus,Es 350,Automatic,Petrol
428,"₦ 2,530,000",Mainland 3 - SNB,Nigerian Used,"243,566Km",D,2006,Land,Rover Range Rover Sport,Automatic,Petrol
429,"₦ 2,026,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"189,935Km",C,2006,Honda,Odyssey,Automatic,Petrol
430,"₦ 7,850,000","SNB                                        ,Owerri",Nigerian Used,"67,293Km",C,2008,Lexus,Rx 350,Automatic,Petrol
431,"₦ 962,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"264,060Km",E,1997,Toyota,Camry,Automatic,Petrol
432,"₦ 1,150,000",Mainland 3 - SNB,Nigerian Used,"114,367Km",,2005,Nissan,Pathfinder,Automatic,Petrol
433,"₦ 1,050,000",Mainland 3 - SNB,Nigerian Used,"189,849Km",,2002,Toyota,Sequoia,Automatic,Petrol
434,"₦ 19,050,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"97,456Km",D,2017,BMW,X6,Automatic,Petrol
435,"₦ 945,000",Mainland 3 - SNB,Nigerian Used,"193,733Km",,2002,Acura,Mdx,Automatic,Petrol
436,"₦ 5,274,000","SNB                                        ,Owerri",Nigerian Used,"92,318Km",C,2013,Toyota,Camry,Automatic,Petrol
