,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
0,"₦ 2,810,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"111,111Km",E,2013,Nissan,NV350,Manual,Petrol
1,"₦ 2,810,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"53,805Km",B,2014,Mitsubishi,L200,Manual,Petrol
2,"₦ 1,690,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"89,358Km",E,2014,Kia,Rio,Manual,Petrol
3,"₦ 1,074,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"26,788Km",C,2017,Tata,Ace,Manual,Petrol
4,"₦ 1,074,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"16,894Km",C,2017,Tata,Ace,Manual,Petrol
5,"₦ 738,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"71,328Km",D,2014,Kia,Rio,Manual,Petrol
6,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"178,415Km",E,2007,Hyundai,Accent,Manual,Petrol
7,"₦ 10,090,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"31,674Km",B,2013,Ford,Ranger,Manual,Petrol
8,"₦ 600,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"314,385Km",,2003,Volkswagen,Beatle,Manual,Petrol
9,"₦ 1,018,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"154,400Km",E,2004,Toyota,Avensis,Manual,Petrol
10,"₦ 906,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"198,686Km",D,2008,Toyota,Corolla,Manual,Petrol
11,"₦ 570,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"113,028Km",E,1998,Peugeot,406,Manual,Petrol
12,"₦ 794,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"151,189Km",D,2005,Toyota,Corolla verso,Manual,Petrol
13,"₦ 1,354,000",AKURE - SNB,Nigerian Used,"45,505Km",D,2013,Kia,Rio,Manual,Petrol
14,"₦ 850,000",Mainland 3 - SNB,Nigerian Used,"153,381Km",C,2005,Toyota,Corolla,Manual,Petrol
15,"₦ 1,130,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"147,436Km",,2010,Kia,Cerato,Manual,Petrol
16,"₦ 3,370,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"249,590Km",C,2013,Ford,Ranger,Manual,Petrol
17,"₦ 2,026,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"99,155Km",C,2013,Toyota,Corolla,Manual,Petrol
18,"₦ 460,000","Island - SNB                                        ,Lagos",Nigerian Used,"166,862Km",,2006,Kia,Rio,Manual,Petrol
19,"₦ 1,354,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"261,358Km",D,2001,Volkswagen,Golf,Manual,Petrol
20,"₦ 2,474,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"150,807Km",D,2014,Mitsubishi,Attrage,Manual,Petrol
21,"₦ 491,600","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"217,294Km",D,2000,Hyundai,Santa Fe,Manual,Petrol
22,"₦ 15,130,000",Mainland 3 - SNB,Nigerian Used,"29,400Km",C,2016,Jeep,Wrangler,Manual,Petrol
23,"₦ 700,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"238,361Km",,2009,Honda,City,Manual,Petrol
24,"₦ 738,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"287,116Km",E,2002,Renault,ESPACE,Manual,Petrol
25,"₦ 3,594,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"226,715Km",D,2008,Ford,Transit,Manual,Petrol
26,"₦ 480,400","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"214,295Km",,2000,Mazda,323,Manual,Petrol
27,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"199,313Km",D,2010,Mitsubishi,L200,Manual,Petrol
28,"₦ 1,130,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"157,197Km",D,2006,Chevrolet,NUBIRA,Manual,Petrol
29,"₦ 794,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"305,037Km",,1997,Volkswagen,Sharan,Manual,Petrol
30,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"110,566Km",D,2009,Toyota,Corolla,Manual,Petrol
31,"₦ 682,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"999,999Km",,2002,Peugeot,406,Manual,Petrol
32,"₦ 883,600","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"122,543Km",D,2007,Hyundai,Elantra,Manual,Petrol
33,"₦ 570,000","Abuja - SNB                                        ,Abuja",Nigerian Used,2004,D,NG-725557,Peugeot,406,Manual,Petrol
34,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"157,643Km",D,2015,Mitsubishi,L200,Manual,Petrol
35,"₦ 1,354,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"71,475Km",D,2007,Toyota,Avanza,Manual,Petrol
36,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"176,271Km",D,2007,Honda,Civic,Manual,Petrol
37,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"60,005Km",D,2015,Mitsubishi,L200,Manual,Petrol
38,"₦ 827,600","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"266,230Km",D,2004,Honda,Accord,Manual,Petrol
39,"₦ 2,698,000","Island - SNB                                        ,Lagos",Nigerian Used,"160,007Km",E,2014,Mitsubishi,L200,Manual,Petrol
40,"₦ 500,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"287,116Km",,2001,Kia,Carens,Manual,Petrol
41,"₦ 2,474,000","Island - SNB                                        ,Lagos",Nigerian Used,"67,452Km",D,2014,Mitsubishi,L200,Manual,Petrol
42,"₦ 1,074,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"2,293,968Km",E,1994,Mitsubishi,L300,Manual,Petrol
43,"₦ 2,698,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"157,584Km",,2009,Mitsubishi,L200,Manual,Petrol
44,"₦ 850,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"204,877Km",,2009,Hyundai,Accent,Manual,Petrol
45,"₦ 402,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"201,436Km",E,2002,Hyundai,Santa Fe,Manual,Petrol
46,"₦ 906,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"248,598Km",D,2002,Peugeot,607,Manual,Petrol
47,"₦ 1,130,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"177,816Km",,1998,Mitsubishi,L400,Manual,Petrol
48,"₦ 1,690,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,1Km,D,2015,Stallion,Force,Manual,Petrol
49,"₦ 794,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"113,968Km",E,2008,Hyundai,Accent,Manual,Petrol
50,"₦ 346,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"240,133Km",E,1999,Rover,600,Manual,Petrol
51,"₦ 346,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"275,833Km",E,1994,Honda,Accord,Manual,Petrol
52,"₦ 2,138,000",Mainland 3 - SNB,Foreign Used,"157,719Km",E,2005,Toyota,COROLLA VERSO,Manual,Petrol
53,"₦ 5,050,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"263,551Km",,2008,Toyota,HiAce,Manual,Petrol
54,"₦ 628,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"281,652Km",D,2000,Volkswagen,Bora,Manual,Petrol
55,"₦ 1,242,000",Mainland 3 - SNB,Foreign Used,"204,140Km",D,2001,Mercedes-Benz,C180,Manual,Petrol
56,"₦ 626,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"115,188Km",E,2007,Kia,Cerato,Manual,Petrol
57,"₦ 1,018,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"103,980Km",E,2009,Hyundai,Accent,Manual,Petrol
58,"₦ 1,690,000","Island - SNB                                        ,Lagos",Nigerian Used,"123,713Km",D,2013,Mitsubishi,L200,Manual,Petrol
59,"₦ 1,690,000","Island - SNB                                        ,Lagos",Nigerian Used,"155,710Km",D,2013,Mitsubishi,L200,Manual,Petrol
60,"₦ 2,026,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"127,279Km",D,2002,Mini,Cooper,Manual,Petrol
61,"₦ 1,130,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"155,585Km",C,2008,Skoda,Octavia,Manual,Petrol
62,"₦ 520,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"135,622Km",,2008,Kia,Cerato,Manual,Petrol
63,"₦ 458,000",Mainland 3 - SNB,Nigerian Used,"194,565Km",E,2003,Civic,2003,Manual,Petrol
64,"₦ 1,354,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"299,787Km",D,2008,Toyota,Avensis,Manual,Petrol
65,"₦ 5,498,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"239,473Km",E,2008,Toyota,Hilux,Manual,Petrol
66,"₦ 1,018,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"27,810Km",,2000,Daihatsu,MOVE,Manual,Petrol
67,"₦ 1,914,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"110,061Km",,2003,Toyota,Corolla,Manual,Petrol
68,"₦ 794,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"239,547Km",,2007,Volkswagen,Jetta,Manual,Petrol
69,"₦ 1,018,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"122,601Km",,2008,Hyundai,Accent,Manual,Petrol
70,"₦ 1,130,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"230,049Km",,2006,Volkswagen,Passat,Manual,Petrol
71,"₦ 682,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"163,534Km",,2000,Audi,A4,Manual,Petrol
72,"₦ 1,186,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"102,633Km",D,2009,Kia,Cerato,Manual,Petrol
73,"₦ 3,370,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"184,886Km",,2000,Toyota,HiAce,Manual,Petrol
74,"₦ 626,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"162,278Km",,2003,Mazda,6,Manual,Petrol
75,"₦ 6,170,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"96,853Km",,2013,Toyota,Hilux,Manual,Petrol
76,"₦ 738,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"107,223Km",,2008,Honda,Civic,Manual,Petrol
77,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"17,384Km",,2011,Geely,CK,Manual,Petrol
78,"₦ 514,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"354,666Km",D,2005,Toyota,Avensis,Manual,Petrol
79,"₦ 794,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"65,121Km",C,2009,Kia,Rio,Manual,Petrol
80,"₦ 7,290,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"180,926Km",,2014,Hilux,2014,Manual,Petrol
81,"₦ 570,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"157,924Km",E,2008,Hyundai,Accent,Manual,Petrol
82,"₦ 962,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"80,640Km",D,2001,Mercedes-Benz,A160,Manual,Petrol
83,"₦ 1,578,000",Mainland 3 - SNB,Nigerian Used,"98,443Km",C,2012,Hyundai,Accent,Manual,Petrol
84,"₦ 536,400","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"668,178Km",E,2008,Peugeot,307,Manual,Petrol
85,"₦ 850,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"99,999Km",E,2009,Toyota,Corolla,Manual,Petrol
86,"₦ 402,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"148,113Km",E,2008,Hyundai,Accent,Manual,Petrol
87,"₦ 1,746,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"394,293Km",C,2009,Toyota,Corolla,Manual,Petrol
88,"₦ 682,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"147,662Km",E,2004,Toyota,Corolla,Manual,Petrol
89,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"124,928Km",C,2010,Toyota,Corolla,Manual,Petrol
90,"₦ 570,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"152,082Km",D,2004,Renault,Laguna,Manual,Petrol
91,"₦ 547,600","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"109,884Km",E,2012,Kia,Picanto,Manual,Petrol
92,"₦ 794,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"102,952Km",D,2011,Mitsubishi,Lancer,Manual,Petrol
93,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"198,296Km",D,2009,Kia,Rio,Manual,Petrol
94,"₦ 470,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,2009,E,NG-695804,Chevrolet,Aveo,Manual,Petrol
95,"₦ 906,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"274,011Km",C,2002,Mercedes-Benz,A140,Manual,Petrol
96,"₦ 1,032,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"266,745Km",D,2004,Peugeot,406,Manual,Petrol
97,"₦ 582,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"279,406Km",D,2001,Mazda,Premacy,Manual,Petrol
98,"₦ 682,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"142,376Km",E,2009,Hyundai,Accent,Manual,Petrol
99,"₦ 695,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"162,582Km",D,1999,Ford,Focus,Manual,Petrol
100,"₦ 357,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"177,487Km",D,1996,Volkswagen,Passat,Manual,Petrol
101,"₦ 751,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"322,325Km",E,2006,Honda,Civic,Manual,Petrol
102,"₦ 3,395,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"162,853Km",D,2009,Toyota,HiAce,Manual,Petrol
103,"₦ 1,707,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"72,410Km",C,2012,Hyundai,Accent,Manual,Petrol
104,"₦ 447,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"253,641Km",E,2005,Nissan,Sunny,Manual,Petrol
105,"₦ 1,145,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"278,510Km",D,2002,Peugeot,307,Manual,Petrol
106,"₦ 582,500","Island - SNB                                        ,Lagos",Nigerian Used,"113,694Km",E,2012,Tata,TELCOLINE,Manual,Petrol
107,"₦ 357,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"140,011Km",E,1999,Honda,Accord,Manual,Petrol
108,"₦ 582,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"124,780Km",D,2004,Nissan,Primera,Manual,Petrol
109,"₦ 751,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"190,369Km",E,1998,Suzuki,Every Wagon,Manual,Petrol
110,"₦ 751,250",Mainland 3 - SNB,Nigerian Used,"118,481Km",D,2011,Kia,Rio,Manual,Petrol
111,"₦ 1,697,500","Abuja - SNB                                        ,Abuja",Foreign Used,"85,665Km",C,2006,Kia,VENGA,Manual,Petrol
112,"₦ 413,750",Mainland 3 - SNB,Nigerian Used,"36,146Km",D,2009,Chevrolet,Aveo,Manual,Petrol
113,"₦ 582,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,2005,E,NG-681518,Peugeot,407,Manual,Petrol
114,"₦ 751,250","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"110,045Km",E,2005,Nissan,Almera,Manual,Petrol
115,"₦ 413,750","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"121,533Km",E,1996,Volkswagen,Golf,Manual,Petrol
116,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"99,999Km",C,2002,Peugeot,406,Manual,Petrol
117,"₦ 5,195,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"94,522Km",C,2015,Ford,Ranger,Manual,Petrol
118,"₦ 1,595,000","Abuja - SNB                                        ,Abuja",Foreign Used,"252,752Km",C,2004,Opel,Zafira,Manual,Petrol
119,"₦ 413,750","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"21,517Km",E,2005,Nissan,MICRA,Manual,Petrol
120,"₦ 2,045,000","Ilorin - SNB                                        ,Ilorin",Foreign Used,"143,150Km",C,2004,Toyota,Corolla,Manual,Petrol
121,"₦ 1,585,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"249,266Km",E,2007,Honda,Civic,Manual,Petrol
122,"₦ 1,212,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"52,329Km",E,2009,Toyota,Corolla,Manual,Petrol
123,"₦ 592,625","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"195,221Km",E,1991,Nissan,Vanette,Manual,Petrol
124,"₦ 695,000",Mainland 3 - SNB,Nigerian Used,"180,948Km",E,2000,Mercedes-Benz,A160,Manual,Petrol
125,"₦ 582,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"198,952Km",D,2001,Honda,Accord,Manual,Petrol
126,"₦ 582,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"182,580Km",E,2006,Chevrolet,Aveo,Manual,Petrol
127,"₦ 920,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"137,772Km",E,2008,Toyota,Corolla,Manual,Petrol
128,"₦ 460,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"167,690Km",E,1997,Seat,Toledo,Manual,Petrol
129,"₦ 1,370,000","Island - SNB                                        ,Lagos",Foreign Used,"184,297Km",E,2010,Honda,Civic,Manual,Petrol
130,"₦ 807,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"171,896Km",D,2007,Kia,Rio,Manual,Petrol
131,"₦ 695,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"217,871Km",D,1996,Volkswagen,Passat,Manual,Petrol
132,"₦ 357,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"321,871Km",E,1994,Honda,Accord,Manual,Petrol
133,"₦ 976,250","SNB                                        ,Owerri",Nigerian Used,2007,D,NG-664047,Toyota,Corolla,Manual,Petrol
134,"₦ 1,482,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"244,347Km",D,2010,Mitsubishi,L200,Manual,Petrol
135,"₦ 2,832,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"125,412Km",C,2013,Mitsubishi,L200,Manual,Petrol
136,"₦ 403,750",Mainland 3 - SNB,Nigerian Used,"87,048Km",E,2005,Chrysler,Pt Cruiser,Manual,Petrol
137,"₦ 11,270,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"424,071Km",D,2012,Toyota,HiAce,Manual,Petrol
138,"₦ 920,000",Mainland 3 - SNB,Nigerian Used,"189,348Km",C,2006,Honda,Cr-V,Manual,Petrol
139,"₦ 638,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"123,456Km",E,2000,Toyota,Yaris,Manual,Petrol
140,"₦ 526,250","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"308,055Km",E,1994,Volkswagen,Passat,Manual,Petrol
141,"₦ 4,745,000","Island - SNB                                        ,Lagos",Nigerian Used,"194,036Km",D,2007,Toyota,Hilux,Manual,Petrol
142,"₦ 1,595,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"265,678Km",C,2012,Mitsubishi,L200,Manual,Petrol
143,"₦ 638,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"321,220Km",D,2000,Toyota,Camry,Manual,Petrol
144,"₦ 357,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"88,820Km",D,1998,Volvo,S40,Manual,Petrol
145,"₦ 413,750","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"232,990Km",E,1995,Mazda,626,Manual,Petrol
146,"₦ 13,520,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"63,751Km",C,2015,Chevrolet,Camaro,Manual,Petrol
147,"₦ 413,750",Mainland 3 - SNB,Nigerian Used,"290,328Km",D,2003,Renault,kangoo,Manual,Petrol
148,"₦ 976,250","SNB                                        ,Owerri",Nigerian Used,"190,887Km",E,1996,Nissan,X-Trail,Manual,Petrol
149,"₦ 3,732,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"167,314Km",C,2012,Ford,Ranger,Manual,Petrol
150,"₦ 863,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"275,511Km",D,2006,Toyota,Corolla,Manual,Petrol
151,"₦ 3,057,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"148,044Km",D,2008,Toyota,Hilux,Manual,Petrol
152,"₦ 672,500","Island - SNB                                        ,Lagos",Nigerian Used,"195,611Km",D,1998,Toyota,Corolla,Manual,Petrol
153,"₦ 1,595,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"181,142Km",C,2013,Toyota,Yaris,Manual,Petrol
154,"₦ 672,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,2001,E,NG-640680,Nissan,Almera,Manual,Petrol
155,"₦ 695,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"47,833Km",D,2013,Renault,Logan,Manual,Petrol
156,"₦ 1,472,500","Kaduna SNB                                        ,Kaduna",Nigerian Used,"99,999Km",D,2002,Peugeot,406,Manual,Petrol
157,"₦ 638,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"99,226Km",D,2012,Hyundai,Verna,Manual,Petrol
158,"₦ 695,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"381,801Km",D,2000,Audi,A4,Manual,Petrol
159,"₦ 638,750","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"105,001Km",E,2005,Nissan,Almera,Manual,Petrol
160,"₦ 807,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"288,530Km",E,2000,Mazda,PRIMACY,Manual,Petrol
161,"₦ 920,000","Port Harcourt - SNB                                        ,Port Harcourt",Foreign Used,"351,379Km",C,2003,Volkswagen,Passat,Manual,Petrol
162,"₦ 526,250","Abuja - SNB                                        ,Abuja",Nigerian Used,"188,400Km",D,2011,Hyundai,I10,Manual,Petrol
163,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"234,628Km",C,2000,Nissan,Pathfinder,Manual,Petrol
164,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"96,915Km",D,2004,Peugeot,206,Manual,Petrol
165,"₦ 413,750","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"198,948Km",E,2008,Hyundai,Accent,Manual,Petrol
166,"₦ 1,145,000","Island - SNB                                        ,Lagos",Foreign Used,"141,667Km",D,2001,Volkswagen,Passat,Manual,Petrol
167,"₦ 1,707,500","Island - SNB                                        ,Lagos",Nigerian Used,2014,E,NG-626284,Suzuki,Grand Vitara,Manual,Petrol
168,"₦ 1,145,000","Island - SNB                                        ,Lagos",Nigerian Used,2012,E,NG-626224,Suzuki,Swift,Manual,Petrol
169,"₦ 5,645,000","Island - SNB                                        ,Lagos",Nigerian Used,2011,E,NG-626609,Toyota,Coaster,Manual,Petrol
170,"₦ 13,520,000","Island - SNB                                        ,Lagos",Nigerian Used,2014,E,NG-626295,Suzuki,Grand Vitara,Manual,Petrol
171,"₦ 245,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"263,089Km",E,1993,Honda,Accord,Manual,Petrol
172,"₦ 605,000","Abuja - SNB                                        ,Abuja",Nigerian Used,2002,E,NG-621825,Peugeot,406,Manual,Petrol
173,"₦ 335,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"308,478Km",E,1997,Mazda,626,Manual,Petrol
174,"₦ 863,750","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"17,833Km",C,2012,Ford,Figo,Manual,Petrol
175,"₦ 751,250","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"96,022Km",E,2014,Hyundai,I10,Manual,Petrol
176,"₦ 6,770,000","Port Harcourt - SNB                                        ,Port Harcourt",New,290Km,A,2020,Innoson,IVM G20 SMART,Manual,Petrol
177,"₦ 503,750","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"207,359Km",D,1999,Mitsubishi,SpaceStar,Manual,Petrol
178,"₦ 1,820,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"114,136Km",C,2014,Tata,Xeno,Manual,Petrol
179,"₦ 582,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"110,223Km",D,2009,Hyundai,Accent,Manual,Petrol
180,"₦ 256,250","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"176,193Km",E,1992,Nissan,Sunny,Manual,Petrol
181,"₦ 1,257,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"203,527Km",C,2008,Toyota,Corolla,Manual,Petrol
182,"₦ 8,457,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"97,769Km",C,2015,Ford,Ranger,Manual,Petrol
183,"₦ 751,250","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"180,591Km",D,2010,Nissan,Sunny,Manual,Petrol
184,"₦ 1,482,500","Kaduna SNB                                        ,Kaduna",Nigerian Used,"253,246Km",E,1991,Ford,Transit,Manual,Petrol
185,"₦ 605,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"99,662Km",E,2004,Peugeot,206,Manual,Petrol
186,"₦ 638,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"190,862Km",D,2008,Kia,Cerato,Manual,Petrol
187,"₦ 872,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"132,549Km",D,2008,Peugeot,Expert,Manual,Petrol
188,"₦ 600,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"516,806Km",D,2007,Peugeot,307,Manual,Petrol
189,"₦ 245,000",Sango-Ota -SNB,Nigerian Used,"316,408Km",E,1996,Nissan,Almera,Manual,Petrol
190,"₦ 987,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"205,385Km",,2008,Toyota,Corolla,Manual,Petrol
191,"₦ 11,700,000","Island - SNB                                        ,Lagos",New,92Km,A,2019,Fiat,FULLBACK,Manual,Petrol
192,"₦ 526,250","Abuja - SNB                                        ,Abuja",Nigerian Used,"134,516Km",D,2011,Shanghai,Englon,Manual,Petrol
193,"₦ 976,250",Mainland 3 - SNB,Nigerian Used,"48,512Km",D,2014,Rio,2014,Manual,Petrol
194,"₦ 700,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"11,087Km",D,2002,Honda,Accord,Manual,Petrol
195,"₦ 526,250","Abuja - SNB                                        ,Abuja",Nigerian Used,"128,220Km",D,1997,Peugeot,406,Manual,Petrol
196,"₦ 930,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"278,212Km",C,2000,Mitsubishi,SpaceStar,Manual,Petrol
197,"₦ 1,370,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"153,570Km",,2008,Toyota,Corolla,Manual,Petrol
198,"₦ 412,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"999,999Km",D,1997,Peugeot,406,Manual,Petrol
199,"₦ 920,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"337,593Km",,1999,Toyota,Picnic,Manual,Petrol
