,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
61,2015000.0,Abuja,foreign,152220.0,4.699999809265137,2007.0,Toyota,Solara,Automatic,14.0
62,6015000.0,Abuja,foreign,170734.0,5.0,2012.0,Mercedes-Benz,C 250,Automatic,9.0
63,3915000.0,Abuja,foreign,44039.0,5.0,2007.0,Lexus,ES 350,Automatic,14.0
64,5515000.0,Abuja,foreign,94217.0,5.0,2014.0,Toyota,Corolla,Automatic,7.0
65,3815000.0,Abuja,foreign,57607.0,5.0,2013.0,Toyota,Corolla,Automatic,8.0
66,2315000.0,Abuja,foreign,52036.0,5.0,2003.0,Toyota,Corolla,Automatic,18.0
67,2665000.0,Abuja,foreign,31798.0,5.0,2006.0,Toyota,Corolla,Automatic,15.0
68,1915000.0,Abuja,foreign,209606.0,5.0,2003.0,Mazda,Premacy,Automatic,18.0
69,2515000.0,Abuja,foreign,209999.0,5.0,2005.0,Toyota,Matrix,Automatic,16.0
70,2015000.0,Abuja,foreign,205465.0,5.0,2002.0,Toyota,Corolla,Automatic,19.0
71,3915000.0,Abuja,foreign,252243.0,4.800000190734863,2004.0,Toyota,Sienna,Automatic,17.0
72,50515000.0,Lagos,foreign,9970.0,5.0,2019.0,Lexus,GX 460,Automatic,2.0
73,3015000.0,Abuja,foreign,58579.0,4.900000095367432,2008.0,Toyota,Scion,Automatic,13.0
74,2815000.0,Adamawa ,local,41596.0,4.900000095367432,2009.0,Mercedes-Benz,C 300,Automatic,12.0
75,7015000.0,Abuja,foreign,46237.0,5.0,2018.0,Toyota,Corolla,Automatic,3.0
76,4015000.0,Abuja,foreign,152681.0,5.0,2008.0,Toyota,RAV 4,Automatic,13.0
77,10615000.0,Abuja,foreign,32411.0,5.0,2014.0,Mercedes-Benz,E 350,Automatic,7.0
78,14190000.0,Lagos,foreign,2626.0,4.900000095367432,2018.0,Toyota,Camry,Automatic,3.0
79,16015000.0,Abuja,foreign,32001.0,5.0,2018.0,Honda,CR-V,Automatic,3.0
80,6715000.0,Lagos,foreign,108324.0,4.699999809265137,2011.0,Toyota,Highlander,Automatic,10.0
81,2465000.0,Abuja,foreign,550110.0,4.900000095367432,2004.0,Toyota,Corolla,Automatic,17.0
83,8215000.0,Abuja,foreign,32241.0,5.0,2018.0,Nissan,Altima,Automatic,3.0
84,10305000.0,Lagos,foreign,91806.0,4.900000095367432,2013.0,Mercedes-Benz,GLK 350,Automatic,8.0
85,3585000.0,Lagos,foreign,120592.0,4.900000095367432,2010.0,Toyota,Camry,Automatic,11.0
86,5790000.0,Lagos,foreign,73562.0,4.900000095367432,2007.0,Toyota,Tacoma,Automatic,14.0
87,4715000.0,Lagos,foreign,98817.0,4.800000190734863,2011.0,Toyota,RAV 4,Automatic,10.0
88,5790000.0,Lagos,foreign,66171.0,4.900000095367432,2016.0,Toyota,Corolla,Automatic,5.0
89,3690000.0,Lagos,foreign,197147.0,4.900000095367432,2009.0,Toyota,Corolla,Automatic,12.0
90,49015000.0,Lagos,foreign,54295.0,5.0,2016.0,Mercedes-Benz,G 63 AMG,Automatic,5.0
91,2815000.0,Abuja,foreign,410012.0,5.0,2009.0,Toyota,Corolla,Automatic,12.0
