Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
9928,Lagos,foreign,35000.0,4.339999999999999,2010.0,Toyota,RAV 4,Automatic,10.0,4635000
9930,Lagos,foreign,92000.0,4.99,2015.0,Toyota,Camry,Automatic,5.0,7165000
9931,Lagos,foreign,0.0,1.25,2008.0,Toyota,4-Runner,Automatic,12.0,4525000
9932,Lagos,foreign,69311.0,4.700000000000001,2009.0,Lexus,RX 350,Automatic,11.0,5075000
9933,Lagos,foreign,75438.0,4.9799999999999995,2012.0,Toyota,Venza,Automatic,8.0,7165000
9934,Lagos,foreign,0.0,0.0,2015.0,Lexus,GX 470,Automatic,5.0,21465000
9936,Lagos,foreign,32400.0,4.8999999999999995,2015.0,Toyota,Corolla,Automatic,5.0,6065000
9937,Lagos,foreign,80.0,0.5085714285714287,2010.0,Toyota,RAV 4,Automatic,10.0,3865000
9938,Lagos,foreign,65254.0,4.92,2015.0,Lexus,GX 460,Automatic,5.0,14864999
9940,Lagos,foreign,0.0,0.625,2006.0,Toyota,4-Runner,Automatic,14.0,3865000
9941,Lagos,foreign,0.0,0.0,2013.0,Mercedes-Benz,C 300,Automatic,7.0,6835000
9942,Lagos,foreign,0.0,0.0,2015.0,Toyota,Corolla,Automatic,5.0,5735000
9943,Lagos,foreign,67554.0,3.0,2008.0,Toyota,Camry,Automatic,12.0,3235000
9944,Lagos,foreign,254.0,0.4375,2006.0,Nissan,Pathfinder,Automatic,14.0,1452500
9945,Lagos,foreign,98248.0,0.0,2010.0,Hyundai,Porter,Automatic,10.0,4140000
9946,Lagos,foreign,0.0,0.8800000000000001,2007.0,Mercedes-Benz,ML 350,Automatic,13.0,5955000
9947,Lagos,foreign,1.0,3.3,2011.0,Toyota,Sienna,Automatic,9.0,7165000
9948,Lagos,foreign,14235.0,4.95,2017.0,Toyota,RAV 4,Automatic,3.0,8595000
9949,Lagos,foreign,10200.0,3.585,2009.0,Toyota,Corolla,Automatic,11.0,2085000
9951,Lagos,foreign,0.0,1.25,2008.0,Toyota,4-Runner,Automatic,12.0,4910000
9952,Lagos,foreign,0.0,0.0,2014.0,Jeep,Wrangler,Automatic,6.0,11565000
9953,Lagos,foreign,14464.0,4.8,2015.0,Mercedes-Benz,C 300,Automatic,5.0,10575000
9954,Lagos,foreign,10000.0,0.0,2004.0,Mercedes-Benz,C 180,Automatic,16.0,2315000
9955,Lagos,foreign,0.0,0.0,2005.0,Toyota,Camry,Automatic,15.0,2832500
9956,Lagos,foreign,74213.0,4.5,2009.0,Toyota,Camry,Automatic,11.0,3480000
9957,Lagos,foreign,0.0,1.25,2008.0,Toyota,Highlander,Automatic,12.0,5185000
9960,Lagos,foreign,0.0,1.25,2008.0,Toyota,Camry,Automatic,12.0,1510000
9961,Lagos,foreign,23000.0,4.97,2017.0,Ford,F 150,Automatic,3.0,14865000
9963,Lagos,foreign,0.0,0.625,2006.0,Toyota,Camry,Automatic,14.0,2200000
9964,Lagos,foreign,0.0,0.0,2015.0,Honda,CR-V,Automatic,5.0,8815000
9966,Lagos,foreign,74672.0,4.319999999999999,2005.0,Toyota,Matrix,Automatic,15.0,1740000
9968,Lagos,foreign,69008.0,4.85,2013.0,Toyota,Camry,Automatic,7.0,5295000
9970,Lagos,foreign,0.0,0.0,2012.0,Toyota,Camry,Automatic,8.0,4525000
9971,Lagos,foreign,886542.0,4.75,2009.0,Toyota,FJ,Automatic,11.0,7055000
9972,Lagos,foreign,0.0,1.2714285714285718,2010.0,Mercedes-Benz,ML 350,Automatic,10.0,6065000
9973,Lagos,foreign,0.0,0.0,2014.0,Toyota,Corolla,Automatic,6.0,5515000
9974,Abuja,foreign,11.0,0.0,2016.0,Kia,Cadenza,Automatic,4.0,6615000
9976,Lagos,foreign,72714.0,0.48,2005.0,Lexus,RX 330,Automatic,15.0,4745000
9977,Lagos,foreign,94882.0,4.839999999999999,2011.0,Toyota,RAV 4,Automatic,9.0,4635000
9979,Lagos,foreign,0.0,0.8800000000000001,2007.0,Toyota,4-Runner,Automatic,13.0,4415000
9981,Lagos,foreign,76763.0,4.799999999999999,2014.0,Ford,Edge,Automatic,6.0,6065000
9982,Lagos,foreign,0.0,0.0,2004.0,Toyota,Corolla,Automatic,16.0,1682500
9983,Lagos,foreign,74992.0,4.88,2010.0,Toyota,Land Cruiser,Automatic,10.0,9365000
9984,Lagos,foreign,0.0,0.0,2005.0,Lexus,GX 470,Automatic,15.0,4965000
9985,Lagos,foreign,0.0,0.625,2006.0,Toyota,Sienna,Automatic,14.0,3120000
9986,Lagos,foreign,0.0,1.2714285714285718,2010.0,Mercedes-Benz,ML 350,Automatic,10.0,5845000
9987,Lagos,foreign,0.0,0.0,2015.0,Ford,Explorer,Automatic,5.0,10135000
9988,Lagos,foreign,0.0,0.0,2013.0,Lexus,GX 470,Automatic,7.0,15965000
9989,Lagos,foreign,0.0,0.625,2006.0,Toyota,Sienna,Automatic,14.0,3810000
9991,Kaduna,foreign,0.0,0.0,2016.0,Lexus,ES 350,Automatic,4.0,15415000
9992,Lagos,foreign,0.0,0.0,2012.0,Hyundai,Sonata,Automatic,8.0,3177500
9994,Lagos,foreign,1.0,4.0625,2008.0,Lexus,ES 350,Automatic,12.0,4085000
9995,Lagos,foreign,0.0,1.2714285714285718,2010.0,Toyota,Camry,Automatic,10.0,3645000
9996,Lagos,foreign,57382.0,1.97,2011.0,Toyota,RAV 4,Automatic,9.0,5185000
9997,Lagos,foreign,98021.0,1.92,2006.0,Toyota,Highlander,Automatic,14.0,3645000
9998,Lagos,foreign,78543.0,4.799999999999999,2014.0,Lexus,GX 460,Automatic,6.0,20915000
9999,Lagos,foreign,0.0,2.4499999999999997,2009.0,Toyota,Camry,Automatic,11.0,3755000
10000,Lagos,foreign,0.0,2.4499999999999997,2009.0,Pontiac,Vibe,Automatic,11.0,2890000
10001,Lagos,foreign,0.0,2.4499999999999997,2009.0,Toyota,Corolla,Automatic,11.0,2890000
10002,Lagos,foreign,45.0,0.0,2013.0,Toyota,Highlander,Automatic,7.0,7935000
10003,Lagos,foreign,45311.0,4.1,2010.0,Mercedes-Benz,ML 350,Automatic,10.0,6065000
10004,Lagos,foreign,124571.0,3.15,2003.0,Mercedes-Benz,C 240,Automatic,17.0,2292000
