Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
82,Lagos,local,0,4.4,2007,Toyota,Camry,Automatic,13,1625000
83,Lagos,foreign,117011,4.7,2014,Mercedes-Benz,ML 350,Automatic,6,12115000
84,Lagos,local,34349,5,2015,Toyota,RAV 4,Automatic,5,5845000
85,Lagos,local,223866,4.3,2005,Toyota,Camry,Automatic,15,1395000
86,Lagos,local,181988,4.6,2011,Toyota,Highlander,Automatic,9,4415000
87,Lagos,local,273065,4.9,2002,Lexus,ES 300,Automatic,18,1625000
88,Lagos,local,116910,4,2008,Honda,Civic,Automatic,12,820000
89,Lagos,foreign,42648,4.9,2016,Toyota,RAV 4,Automatic,4,9915000
90,Lagos,foreign,142601,4.9,2009,Toyota,RAV 4,Automatic,11,3645000
91,Lagos,local,109178,4.6,2003,Toyota,Corolla,Automatic,17,1395000
92,Lagos,foreign,102823,5,2013,Mercedes-Benz,ML 350,Automatic,7,11895000
93,Lagos,foreign,88126,4.9,2008,Hyundai,Elantra,Automatic,12,3120000
94,Lagos,local,94809,4.3,2007,Toyota,Corolla,Automatic,13,1337500
95,Lagos,local,443777,4.4,2007,Toyota,Camry,Automatic,13,1452500
96,Lagos,local,153889,4.7,2004,Toyota,Corolla,Automatic,16,1855000
97,Lagos,foreign,72683,4.8,2010,Honda,Crosstour,Automatic,10,5515000
99,Lagos,foreign,128628,4.5,2003,Toyota,Corolla,Automatic,17,2315000
100,Lagos,foreign,209292,4.6,2007,Toyota,Sienna,Automatic,13,3005000
101,Lagos,foreign,86516,4.6,2007,Honda,Accord,Automatic,13,2085000
102,Lagos,foreign,104132,4.8,2016,Toyota,Corolla,Automatic,4,6065000
103,Lagos,foreign,201779,4.8,2009,Hyundai,Santa Fe,Automatic,11,3755000
104,Lagos,foreign,137037,4.6,2011,Toyota,Camry,Automatic,9,3350000
105,Lagos,foreign,52952,4.9,2012,GMC,Terrain,Automatic,8,5515000
106,Lagos,local,168395,3.8,2006,Toyota,Corolla,Automatic,14,877500
107,Lagos,local,223508,4.7,2003,Toyota,Camry,Automatic,17,1280000
108,Lagos,foreign,164164,4.8,2017,Toyota,Corolla,Automatic,3,8045000
109,Lagos,foreign,202171,4.9,2008,Toyota,Highlander,Automatic,12,4965000
110,Lagos,foreign,111194,5,2011,Toyota,Camry,Automatic,9,3292500
111,Abia,foreign,82288,4.7,2009,Toyota,Camry,Automatic,11,3350000
112,Lagos,foreign,92832,4.8,2016,Hyundai,Sonata,Automatic,4,3865000
113,Lagos,foreign,121528,4.9,2009,Toyota,Corolla,Automatic,11,3120000
114,Lagos,foreign,116617,4.8,2007,Toyota,Camry,Automatic,13,2775000
115,Lagos,foreign,100943,4.8,2013,Mercedes-Benz,ML 350,Automatic,7,12665000
116,Lagos,foreign,86419,4.9,2007,Lexus,ES 350,Automatic,13,3975000
117,Lagos,foreign,85244,4.8,2010,Toyota,Sienna,Automatic,10,3120000
118,Lagos,foreign,60499,4.8,2012,Toyota,Corolla,Automatic,8,4195000
119,Lagos,local,1398244,4.6,2007,Honda,CR-V,Automatic,13,2430000
120,Lagos,foreign,169525,4.9,2012,Toyota,Camry,Automatic,8,3645000
121,Lagos,local,245628,4.4,2005,Toyota,Corolla,Automatic,15,1395000
122,Lagos,local,212500,4.8,2004,Toyota,Corolla,Automatic,16,590000
123,Lagos,foreign,180311,4.9,2013,Toyota,Corolla,Automatic,7,3465000
124,Lagos,foreign,8995,4.9,2006,Toyota,Highlander,Automatic,14,3120000
125,Lagos,foreign,67640,5,2013,Mercedes-Benz,GLK 350,Automatic,7,9365000
126,Lagos,foreign,109950,4.8,2011,Toyota,Highlander,Automatic,9,7715000
127,Lagos,foreign,92649,4.9,2014,Toyota,Avalon,Automatic,6,8375000
128,Lagos,foreign,18297,4.7,2016,Mercedes-Benz,G 63 AMG,Automatic,4,55015000
129,Lagos,foreign,146287,4.9,2007,Toyota,Camry,Automatic,13,2775000
130,Lagos,local,44586,4.9,2015,Hyundai,ix35,Automatic,5,5735000
131,Lagos,foreign,93857,5,2005,Lexus,RX 330,Automatic,15,4140000
132,Lagos,foreign,13655,5,2018,Mercedes-Benz,C 250,Automatic,2,20365000
133,Lagos,foreign,174267,4.9,2006,Mercedes-Benz,ML 350,Automatic,14,3920000
134,Lagos,foreign,61727,5,2009,Lexus,RX 350,Automatic,11,6065000
136,Lagos,foreign,71937,5,2014,Lexus,GX 460,Automatic,6,20365000
137,Lagos,foreign,68193,4.8,2013,Toyota,Venza,Automatic,7,8265000
138,Lagos,foreign,94133,5,2010,Toyota,Camry,Automatic,10,3535000
139,Lagos,foreign,85363,5,2007,Lexus,RX 350,Automatic,13,4635000
140,Lagos,foreign,105478,4.8,2009,Ford,Escape,Automatic,11,2085000
141,Lagos,foreign,182938,4.9,2008,Toyota,Highlander,Automatic,12,5405000
142,Lagos,foreign,67264,4.4,2010,Honda,Crosstour,Automatic,10,4965000
143,Lagos,foreign,73308,4.8,2013,Lexus,LX 570,Automatic,7,22015000
144,Lagos,foreign,134121,4.8,2014,Toyota,Avalon,Automatic,6,7935000
