,Linear Regression,KNN,RandomForest Regressor,XGBoost Regressor,AdaBoost Regressor
MSLE,3.370910360871894e-05,4.3654433197810576e-05,1.5975075151118454e-05,2.541449757628078e-05,1.7328104937792858e-05
Root MSLE,0.005805954151448229,0.00660715015705036,0.003996883179568607,0.005041279359079477,0.004162704041580768
R2 Score,0.53583909212713,0.3985960653944788,0.7804737851773922,0.6499349191155182,0.7617328616915267
Accuracy(%),53.5839,39.8596,78.0474,64.9935,76.1733
